グループ,試合日時,スタジアム,ホーム,スコア,アウェイ
ラウンド32,7/2(木)9:00,サンフランシスコ,USA,2-0,BIH,7
ラウンド32,7/3(金)4:00,ロサンゼルス,ESP,3-0,AUT,6
ラウンド32,7/3(金)8:00,トロント,POR,,CRO,5
ラウンド32,7/3(金)12:00,BCプレイス,SUI,,ALG,15
ラウンド32,7/4(土)3:00,ダラス,AUS,,EGY,14
ラウンド32,7/4(土)7:00,マイアミ,ARG,,CPV,13
ラウンド32,7/4(土)10:30,カンザスシティ,COL,,GHA,16
ラウンド16,7/5(日)2:00,ヒューストン,CAN,,MAR
ラウンド16,7/5(日)6:00,フィラデルフィア,PAR,,FRA
ラウンド16,7/6(月)5:00,ニューヨーク・ニュージャージー,BRA,,NOR
ラウンド16,7/6(月)9:00,アステカ,MEX,,ENG
ラウンド16,7/7(火)4:00,ダラス,未定,,未定
ラウンド16,7/7(火)9:00,シアトル,未定,,BEL
ラウンド16,7/8(水)1:00,アトランタ,未定,,未定
ラウンド16,7/8(水)5:00,BCプレイス,未定,,未定
準々決勝,7/10(金)5:00,ボストン,未定,,未定,25
準々決勝,7/11(土)4:00,ロサンゼルス,未定,,未定,26
準々決勝,7/12(日)6:00,マイアミ,未定,,未定,27
準々決勝,7/12(日)10:00,カンザスシティ,未定,,未定,28
準決勝,7/15(水)4:00,ダラス,未定,,未定,29
準決勝,7/16(木)4:00,アトランタ,未定,,未定,30
3位決定戦,7/19(日)6:00,マイアミ,未定,,未定,31
決勝,7/20(月)4:00,ニューヨーク・ニュージャージー,未定,,未定,32
